Date,Close,High,Low,Open,Volume
,BAC,BAC,BAC,BAC,BAC
2000-01-03,12.71402645111084,13.189777118313696,12.599190083165322,13.189777118313696,13705800
2000-01-04,11.95938777923584,12.58278522177488,11.795335820672932,12.533569634206009,27293400
2000-01-05,12.090628623962402,12.189059793221256,11.680498752050518,11.828145505938796,22855600
2000-01-06,13.124160766601562,13.12416076660156,12.27109031677246,12.320305919647216,17307000
2000-01-07,12.779644012451172,13.025721881753826,12.599186908295893,13.025721881753826,11632800
2000-01-10,12.336705207824707,12.845266193785568,12.25467924234715,12.845266193785568,11152800
2000-01-11,12.074224472045898,12.320302416449008,11.959388097991114,11.959388097991114,11064400
2000-01-12,12.205466270446777,12.353113039847342,12.074224697646272,12.074224697646272,11067600
2000-01-13,12.484353065490723,12.566379038325747,12.30389592525367,12.33670631438768,12322000
2000-01-14,13.255396842956543,13.271802037069113,12.812456601917154,13.107750095943413,20438600
2000-01-18,12.599189758300781,13.12415599822998,12.549974173307419,13.12415599822998,17116000
2000-01-19,12.599189758300781,12.910888463258743,12.254680663347244,12.566379368305206,15468400
2000-01-20,12.35721492767334,12.59919158905161,12.074225272841126,12.467950009998988,12249000
2000-01-21,11.992198944091797,12.254682094714873,11.959388550263911,12.205466503973046,12839400
2000-01-24,11.69690990447998,12.139850391746402,11.680504701247889,12.008608765889685,12614800
2000-01-25,11.844555854797363,11.992202672931958,11.729719440692682,11.7953402487525,15631000
2000-01-26,12.36951732635498,12.418732912534113,11.910171855349756,12.008603027708018,15441200
2000-01-27,12.632003784179688,12.697624583058545,12.353115388944552,12.484356986702263,12769400
2000-01-28,12.008602142333984,12.566378744573543,12.008602142333986,12.566378744573543,13517000
2000-01-31,12.71402645111084,12.71402645111084,12.156249806804041,12.205465393066406,16910000
2000-02-01,12.861675262451172,12.861675262451172,12.59919209382972,12.632002489907402,8965200
2000-02-02,12.533573150634766,12.730435556142119,12.435141947881089,12.467952348798981,11717400
2000-02-03,12.189064979553223,12.615600227828303,11.926581749845482,12.5171690166879,22798000
2000-02-04,12.041419982910156,12.369524069637954,11.89377314388265,12.320308456628785,13400000
2000-02-07,11.89377212524414,11.942987734038253,11.77893570472454,11.89377212524414,10364400
2000-02-08,12.36951732635498,12.402327717141068,11.992197832314975,12.025008223101063,10821800
2000-02-09,12.090628623962402,12.402327326615437,12.090628623962404,12.369516936862485,9294200
2000-02-10,11.778931617736816,12.205466745955698,11.729716026019252,12.090630365281385,11579400
2000-02-11,11.860955238342285,12.238274699589688,11.81173965644045,11.81173965644045,13510400
2000-02-14,11.614873886108398,12.057813991934566,11.56565831879438,11.992193235515874,13426800
2000-02-15,11.97579574584961,12.074226943760701,11.56566575455339,11.56566575455339,13834000
